"lp","wojewodztwo","woj","WOJ2","powiat","pow","POW2","gmina","gmi","GMI","TERYT","miasto","lok","ubiegal","operator","odpowiedz","termininw","innaodp","data"
11090,"MAZOWIECKIE",14,14,"węgrowski",33,33,"Korytnica (gmina wiejska)",3,"03","143303","Paplin",,1,1,1,0,,"2014-03-24 07:56"
11091,"MAZOWIECKIE",14,14,"węgrowski",33,33,"Korytnica (gmina wiejska)",3,"03","143303","Jaczew",,2,0,0,0,,"2014-03-24 07:58"
11092,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-24 10:02"
11093,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-24 10:06"
11094,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Czerwonak (gmina wiejska)",4,"04","302104","Koziegłowy","Taczaka 9",1,2,1,0,,"2014-03-24 13:03"
11095,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Czerwonak (gmina wiejska)",4,"04","302104","Koziegłowty","Taczaka",1,2,1,0,,"2014-03-24 13:04"
11096,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Czerwonak (gmina wiejska)",4,"04","302104","Koziegłowy",,1,2,3,0,"Opłaca się tylko w przypadku działalnoci gospodarczej","2014-03-24 13:08"
11097,"POMORSKIE",22,22,"wejherowski",15,15,"Szemud (gmina wiejska)",9,"09","221509","szemud","wejherowska 2a",1,2,1,0,,"2014-03-24 18:42"
11098,"LUBUSKIE",8,"08","kronieński",2,"02","Gubin (gmina wiejska)",5,"05","080205","Bieżyce",79,1,3,1,0,,"2014-03-24 20:47"
11099,"POMORSKIE",22,22,"wejherowski",15,15,"Szemud (gmina wiejska)",9,"09","221509","Kielno","Wybickiego",1,3,1,0,,"2014-03-24 21:05"
11100,"POMORSKIE",22,22,"wejherowski",15,15,"Szemud (gmina wiejska)",9,"09","221509","Kielno","Moniuszki",1,1,1,0,,"2014-03-24 21:09"
11101,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 09:51"
11102,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 09:51"
11103,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 09:53"
11104,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Pabianice (gmina wiejska)",7,"07","100807","Żytowice",,1,2,2,4,,"2014-03-25 11:02"
11105,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Pabianice (gmina wiejska)",7,"07","100807","Janowice",,1,2,2,4,,"2014-03-25 11:02"
11106,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Pabianice (gmina wiejska)",7,"07","100807","Wola Żytowska",,1,3,2,4,,"2014-03-25 11:03"
11107,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:01"
11108,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:03"
11109,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:10"
11110,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:10"
11111,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:11"
11112,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:11"
11113,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:12"
11114,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:13"
11115,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:13"
11116,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:15"
11117,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:16"
11118,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:17"
11119,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:17"
11120,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:18"
11121,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 12:23"
11122,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Siechnice (gmina miejsko-wiejska)",8,"08","022308","Groblice","Różana",1,5,1,0,,"2014-03-25 12:34"
11123,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Mosina (gmina miejsko-wiejska)",10,10,"302110","wištniki","Kórnicka",1,1,1,0,,"2014-03-25 13:00"
11124,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:53"
11125,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:54"
11126,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:54"
11127,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:55"
11128,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:55"
11129,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:56"
11130,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:57"
11131,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:58"
11132,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 13:59"
11133,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:00"
11134,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:10"
11135,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:55"
11136,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:55"
11137,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:55"
11138,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:56"
11139,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:56"
11140,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:56"
11141,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:57"
11142,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:58"
11143,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:58"
11144,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:58"
11145,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 14:59"
11146,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 15:00"
11147,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 15:00"
11148,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 15:01"
11149,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 15:01"
11150,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 15:02"
11151,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-25 15:03"
11152,"MAZOWIECKIE",14,14,"sochaczewski",28,28,"Iłów (gmina wiejska)",3,"03","142803","Leniaki",,1,3,1,0,,"2014-03-25 22:10"
11153,"LĽSKIE",24,24,"Mysłowice",70,70,"Mysłowice (gmina miejska)",1,"01","247001","Mysłowice","Krasowska",1,4,1,0,,"2014-03-25 22:27"
11154,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-26 08:24"
11155,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-26 13:22"
11156,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-26 13:22"
11157,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-26 13:23"
11158,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-26 13:23"
11159,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-26 13:23"
11160,"POMORSKIE",22,22,"kartuski",5,"05","Żukowo (gmina miejsko-wiejska)",8,"08","220508","Tuchom",,2,0,0,0,,"2014-03-26 22:46"
11161,"WARMIŃSKO-MAZURSKIE",28,28,"olsztyński",14,14,"Stawiguda (gmina wiejska)",11,11,"281411","Bartšg","Miętowa",1,3,1,0,,"2014-03-27 09:23"
11162,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-03-27 09:36"
11163,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Czernica (gmina wiejska)",1,"01","022301","Dobrzykowice","Błekitna",1,3,1,0,,"2014-03-27 16:46"
11164,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Swarzędz (gmina miejsko-wiejska)",16,16,"302116","Gruszczyn","Katarzyńska 105D",1,3,1,0,,"2014-03-27 16:54"
11165,"MAZOWIECKIE",14,14,"warszawski zachodni",32,32,"Izabelin (gmina wiejska)",2,"02","143202","Izabelin C","Krasińskiego 97",1,3,1,0,,"2014-03-28 11:21"
11166,"LĽSKIE",24,24,"Mysłowice",70,70,"Mysłowice (gmina miejska)",1,"01","247001","Mysłowice","Słoneczne Wzgórze",1,2,1,0,,"2014-03-30 00:08"
11167,"ZACHODNIOPOMORSKIE",32,32,"goleniowski",4,"04","Nowogard (gmina miejsko-wiejska)",4,"04","320404","Ostrzyca",,1,3,3,0,"Brak zainteresowania ze strony operatorów","2014-03-30 21:39"
11168,"MAZOWIECKIE",14,14,"otwocki",17,17,"Otwock (gmina miejska)",2,"02","141702","Wólka Mlšdzka",,1,3,1,0,,"2014-03-31 11:45"
11169,"PODLASKIE",20,20,"wysokomazowiecki",13,13,"Wysokie Mazowieckie (gmina wiejska)",10,10,"201310","Trzeciny",,1,4,1,0,,"2014-04-01 18:06"
11170,"MAZOWIECKIE",14,14,"grodziski",5,"05","Jaktorów (gmina wiejska)",5,"05","140505","Stare Budy","Żyrardowska 12A",1,10,1,0,,"2014-04-01 22:15"
11171,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Pabianice (gmina wiejska)",7,"07","100807","Janowice",,1,3,1,0,,"2014-04-02 07:54"
11172,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Pabianice (gmina wiejska)",7,"07","100807","Wola Żytowska",,1,2,2,4,,"2014-04-02 07:54"
11173,"ŁÓDZKIE",10,10,"pabianicki",8,"08","Pabianice (gmina wiejska)",7,"07","100807","Żytowice",,1,1,2,4,,"2014-04-02 07:54"
11174,"WIELKOPOLSKIE",30,30,"poznański",21,21,"Murowana Golina (gmina miejsko-wiejska)",11,11,"302111","Wojnówko","Kalinowa 82",1,5,1,0,,"2014-04-02 21:22"
11175,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo-Osada","Słoneczna",1,2,1,0,,"2014-04-02 22:09"
11176,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo- Osada","Wyzwolenia",1,3,1,0,,"2014-04-02 22:50"
11177,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo-Wie","Okrężna",1,3,1,0,,"2014-04-02 22:51"
11178,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo- Osada","Słoneczna",1,4,1,0,,"2014-04-02 22:51"
11179,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo-Osada","Nowa",2,0,0,0,,"2014-04-02 23:16"
11180,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo",,1,3,1,0,,"2014-04-02 23:17"
11181,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo",,1,2,1,0,,"2014-04-02 23:20"
11182,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo-Osada","Mickiewicza",2,0,0,0,,"2014-04-03 00:21"
11183,"LUBELSKIE",6,"06","hrubieszowski",4,"04","Trzeszczany (gmina wiejska)",6,"06","060406","Nieledew",,1,5,1,0,,"2014-04-03 12:38"
11184,"WARMIŃSKO-MAZURSKIE",28,28,"działdowski",3,"03","Iłowo-Osada (gmina wiejska)",3,"03","280303","Iłowo-Osada",,1,3,2,3,,"2014-04-03 14:13"
11185,"PODKARPACKIE",18,18,"przeworski",14,14,"Adamówka (gmina wiejska)",2,"02","181402","majdan sieniawski",,1,2,1,0,,"2014-04-03 15:00"
11186,"ZACHODNIOPOMORSKIE",32,32,"goleniowski",4,"04","Nowogard (gmina miejsko-wiejska)",4,"04","320404","Ostrzyca",,1,3,3,0,"Może za dziesięć lat.","2014-04-04 20:24"
11187,"MAZOWIECKIE",14,14,"grodziski",5,"05","Grodzisk Mazowiecki (gmina miejsko-wiejska)",4,"04","140504","Grodzisk Mazowiecki","Żyrardowska",1,2,3,0,"Internet jest dostępny, ale przecišżona centrala wymaga modernizacji, czego jedyny operator stacjonarny (orange) nie planuje zrobic.","2014-04-05 21:56"
11188,"POMORSKIE",22,22,"pucki",11,11,"Puck (gmina wiejska)",7,"07","221107","Mała Pianica",,1,2,1,0,,"2014-04-05 22:06"
11189,"WIĘTOKRZYSKIE",26,26,"staszowski",12,12,"Rytwiany (gmina wiejska)",6,"06","261206","Rytwiany",,1,4,2,3,,"2014-04-05 22:29"
11190,"PODLASKIE",20,20,"hajnowski",5,"05","Białowieża (gmina wiejska)",2,"02","200502","Czerlonka",,1,2,1,0,,"2014-04-06 16:14"
11191,"LĽSKIE",24,24,"żywiecki",17,17,"Żywiec (gmina miejska)",1,"01","241701","Żywiec","Stawowa",1,1,3,0,"Rozbudować centrale oraz postawić kilka central w okolicy oraz doposażyć centrale w karty VDSL oraz porty bo ich brak a oczekuję na większš prędkoć ","2014-04-06 20:35"
11192,"MAZOWIECKIE",14,14,"otwocki",17,17,"Karczew (gmina miejsko-wiejska)",4,"04","141704","Całowanie",,2,0,0,0,,"2014-04-06 22:45"
11193,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-07 09:35"
11194,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-07 09:37"
11195,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-07 15:05"
11196,"OPOLSKIE",16,16,"głubczycki",2,"02","Kietrz (gmina miejsko-wiejska)",4,"04","160204","Kietrz","ul. Długa",1,1,1,0,,"2014-04-07 22:20"
11197,"MAZOWIECKIE",14,14,"wyszkowski",35,35,"Zabrodzie (gmina wiejska)",6,"06","143506","Zazdroć","Spacerowa",1,1,1,0,,"2014-04-08 10:16"
11198,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-10 14:44"
11199,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-10 14:47"
11200,"POMORSKIE",22,22,"kartuski",5,"05","Żukowo (gmina miejsko-wiejska)",8,"08","220508","Banino","Nad Stawem",2,0,0,0,,"2014-04-11 09:40"
11201,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-11 10:07"
11202,"DOLNOLĽSKIE",2,"02","kłodzki",8,"08","Lewin Kłodzki (gmina wiejska)",9,"09","020809","Dańczów","Dańczów",1,3,1,0,,"2014-04-11 13:28"
11203,"MAZOWIECKIE",14,14,"płoński",20,20,"Czerwińsk nad Wisłš (gmina wiejska)",4,"04","142004","Radzkowo Stare",,1,2,1,0,,"2014-04-11 17:57"
11204,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Czernica (gmina wiejska)",1,"01","022301","Dobrzykowice","Błękitna",1,1,1,0,,"2014-04-12 11:24"
11205,"MAZOWIECKIE",14,14,"Płock",62,62,"Płock (gmina miejska)",1,"01","146201","Płock-Radziwie","Przesmyk",1,2,2,4,,"2014-04-12 13:57"
11206,"DOLNOLĽSKIE",2,"02","Wrocław",64,64,"Wrocław (gmina miejska)",1,"01","026401","Wrocław","Bacciarellego 8",1,2,3,0,"Orange/TP od PONAD ROKU nie jest w stanie się okrelić nt. TERMINU wdrożenia usługi VDSL pod wskazanym adresem. Netia bazuję na infrastrukturze Orange/TP, zatem jej zakres usług jest również uzależniony od TP/Orange.","2014-04-14 01:34"
11207,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-14 07:59"
11208,"MAZOWIECKIE",14,14,"piaseczyński",18,18,"Piaseczno (gmina miejsko-wiejska)",4,"04","141804","Józefosław","Planety",1,3,1,0,,"2014-04-14 09:06"
11209,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-14 09:52"
11210,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-15 11:52"
11211,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-15 14:11"
11212,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-15 14:12"
11213,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-15 14:12"
11214,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-15 15:15"
11215,"MAZOWIECKIE",14,14,"Warszawa",65,65,"Warszawa (gmina miejska, miasto stołeczne)",1,"01","146501","Warszawa","Zawilańska",1,1,1,0,,"2014-04-15 15:29"
11216,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-16 07:55"
11217,"LĽSKIE",24,24,"żywiecki",17,17,"Żywiec (gmina miejska)",1,"01","241701","Żywiec","Stawowa",1,1,1,0,,"2014-04-16 09:52"
11218,"DOLNOLĽSKIE",2,"02","wrocławski",23,23,"Czernica (gmina wiejska)",1,"01","022301","Gajków","Ładna",1,3,2,4,,"2014-04-16 15:04"
11219,"WARMIŃSKO-MAZURSKIE",28,28,"iławski",7,"07","Lubawa (gmina miejska)",2,"02","280702","Lubawa","Ogrodowa 9",1,1,1,0,,"2014-04-16 21:24"
11220,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 08:24"
11221,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 08:26"
11222,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 15:33"
11223,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 15:34"
11224,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 15:34"
11225,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 15:34"
11226,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 15:35"
11227,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-17 15:35"
11228,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-18 15:20"
11229,"PODKARPACKIE",18,18,"jasielski",5,"05","Krempna (gmina wiejska)",6,"06","180506","Ożenna",,1,2,1,0,,"2014-04-19 18:56"
11230,"WARMIŃSKO-MAZURSKIE",28,28,"szczycieński",17,17,"Szczytno (gmina wiejska)",6,"06","281706","Janowo","01-lip",1,1,1,0,,"2014-04-21 11:33"
11231,"WIELKOPOLSKIE",30,30,"chodzieski",1,"01","Budzyń (gmina wiejska)",2,"02","300102","nowe brzeno",,2,0,0,0,,"2014-04-21 20:12"
11232,"KUJAWSKO-POMORSKIE",4,"04","Włocławek",64,64,"Włocławek (gmina miejska)",1,"01","046401","Włocławek","Mielęcińska",1,2,2,4,,"2014-04-22 00:08"
11233,"PODLASKIE",20,20,"Łomża",62,62,"Łomża (gmina miejska)",1,"01","206201","siwiki",,1,4,3,0,"słaby sygnał znadajników","2014-04-22 08:29"
11234,"MAZOWIECKIE",14,14,"otwocki",17,17,"Wišzowna (gmina wiejska)",8,"08","141708","Majdan",,1,2,1,0,,"2014-04-22 21:25"
11235,"PODLASKIE",20,20,"białostocki",2,"02","Zabłudów (gmina miejsko-wiejska)",14,14,"200214","Zabłudów-Kolonia",,1,10,1,0,,"2014-04-23 09:17"
11236,"MAŁOPOLSKIE",12,12,"wielicki",19,19,"Biskupice (gmina wiejska)",1,"01","121901","Bodzanów",,1,1,1,0,,"2014-04-23 13:29"
11237,"ZACHODNIOPOMORSKIE",32,32,"goleniowski",4,"04","Nowogard (gmina miejsko-wiejska)",4,"04","320404","Ostrzyca",,1,3,0,0,"Brak zainteresowania ze strony operatora.","2014-04-23 19:35"
